"prediction","Ground_Truth"
"0.028229822019764483","0"
"0.048954737637935855","0"
"0.024249083788629115","0"
"0.14096945692246193","0"
"0.1959806909566946","1"
"0.15003926813381566","1"
"0.36209699906051906","0"
"0.35755988229232555","1"
"0.7286739389017045","0"
"0.023034597198927118","0"
"0.03713967484098664","0"
"0.04680118129624825","0"
"0.05088710981802676","1"
"0.03620407124876199","0"
"0.01443422507680471","0"
"0.4278388028239664","0"
"0.08448904709304787","0"
"0.06789916964216668","0"
"0.05034451449754278","0"
"0.8193022498560373","0"
"0.5405975518022602","0"
"0.15382927813717043","0"
"0.08309816093235355","0"
"0.2727233859727469","0"
"0.07386382380209527","0"
"0.07544296407290921","0"
"0.02746819398949136","0"
"0.06964184001341374","0"
"0.10373299853979463","0"
"0.32679289280896856","1"
"0.6899448391206701","1"
"0.2443876152835804","1"
"0.1219477971446638","1"
"0.3052754208402238","1"
"0.04960787025026876","1"
"0.0382903896433553","1"
"0.06722061753118577","1"
"0.06298180896194612","1"
"0.11882897029520458","0"
"0.029681659349642158","0"
"0.31471585605335683","0"
"0.18132428581407986","0"
"0.07694484892911153","1"
"0.03610024121069804","1"
"0.21753756646834801","0"
"0.02741054298641328","0"
"0.03418714189141461","0"
"0.024496301814664268","0"
"0.023615379842026753","0"
"0.04813323178341687","0"
"0.06397033090387243","0"
"0.2580783917555198","0"
"0.15616431554905894","0"
"0.3669749831930642","0"
"0.1095353401741684","0"
"0.004335065293282944","0"
"0.47890123064323054","1"
"0.7505796719898529","0"
"0.21933187124784276","0"
"0.10313651678418177","0"
"0.3477282731442737","0"
"0.07943995795063227","0"
"0.05220789442919917","0"
"0.04743802429371335","0"
