"prediction","Ground_Truth"
"0.2550790466111991","0"
"0.25108073517623997","0"
"0.08582694473808629","0"
"0.08617079374277735","0"
"0.4958302632872769","1"
"0.5160769105644384","1"
"0.024304208917497547","0"
"0.023231729804209997","0"
"0.02606045517310827","0"
"0.0906016425926581","0"
"0.07014304445366693","0"
"0.057221234516026","0"
"0.17699744787926952","0"
"0.43514323058079557","0"
"0.265347971332714","1"
"0.024872635313387032","0"
"0.01604254737756379","0"
"0.006692201097328703","0"
"0.5283077025346635","0"
"0.04024422257499208","0"
"0.007980599653416045","0"
"0.2212501098457841","0"
"0.05187200729591589","0"
"0.027244903251594805","0"
"0.2341148600595122","0"
"0.20674609000980332","0"
"0.23470821211183077","0"
"0.5126338832802803","0"
"0.25280253520208246","0"
"0.05360050008979032","0"
"0.1259470274095145","0"
"0.018143930070215218","1"
"0.32960377069865376","0"
"0.09685101145487465","0"
"0.33645508875496","0"
"0.443445767196945","0"
"0.010626565835573377","0"
"0.2596433499058718","0"
"0.5844382906480363","0"
"0.2416305428264328","0"
"0.39095606014725465","1"
"0.41841220437887844","0"
"0.05545194265646076","0"
"0.03246177450331007","0"
"0.014232731570459924","0"
"0.048659119989211005","0"
"0.007799413954185792","0"
"0.29685918757076046","0"
"0.0605546804626148","0"
"0.15582227405186638","0"
"0.9591988901720065","1"
"0.020081863881189533","0"
"0.023744383165674496","0"
"0.0627509171793465","0"
"0.22318249896068842","0"
"0.35727800310528723","0"
"0.05110971757831934","0"
"0.30103830812919935","0"
"0.6498915455324811","0"
"0.029966948737117048","0"
